Item,Qty,Reference(s),MPN
1,1,C1,-
2,11,"C2, C3, C4, C7, C8, C9, C10, C21, C22, C23, C25",GRM155R71C104KA88J
3,2,"C5, C6",0402ZD105KAT2A
4,1,C11,GJM1555C1H470FB01D
5,2,"C12, C16",LMK105BBJ475MVLF
6,2,"C13, C15",GCM155R71H103KA55D
7,2,"C14, C17",-
8,2,"C18, C19",CPX3225A
9,1,C20,GRM188R60J226MEA0D
10,1,J1,52745-1097
11,1,J2,-
12,2,"J3, J4",202396-0207
13,7,"JP1, JP2, JP4, JP9, JP11, JP12, JP14",-
14,1,L1,VLS252012CX-220M-1
15,1,L2,VLS252012CX-100M-1
16,10,"R1, R3, R4, R6, R7, R8, R9, R15, R21, R22",RC0402FR-0710ML
17,2,"R2, R10",RC0402FR-07100KL
18,2,"R5, R11",-
19,1,R12,MCHVR02FTFY3904 
20,2,"R13, R16",CRCW04029M10FKED 
21,1,R14,CRCW04025M23FKED
22,1,R17,CRCW04023M16FKED
23,1,R18,RMCF0402FT4M53
24,1,R19,MCHVR02FTFY6804 
25,1,R20,RC0402FR-07200KL
26,1,SW2,B3U-1000P
27,12,"TP1, TP2, TP3, TP4, TP5, TP7, TP9, TP11, TP12, TP13, TP14, TP18",SMOX/060/B1/HT 
28,1,U1,BQ25570RGR
29,1,U2,SN74AUP2G79RSE
30,1,U3,SIP32432DNP3-T1GE4
31,1,U4,OPT3004DNPR
32,1,U5,BMA400
33,1,U6,TS3A4741DCN
34,1,U7,EYSKBNZWB
35,1,U8,MB85RS4MT
36,1,U9,SN74AUP3G34RSE
37,1,U10,AM1815
38,1,U11,SN74AUP1G04DCK
39,1,U12,SN74AUP1G34DCK
40,1,Y1,ABS07W-32.768KHZ-J-1-T
,,,
Misc:,,,
,2,Solar panel,EX2-1V50
,1,Screen,LS013B7DH03
,10,Solar panel connector contact,5013340000
,2,Solar panel connector connector,5013300200
